,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,MEMBER-SINCE,SEX,OCCUPATION-CODE,BLACK-LIST-CODE,BLACK-LIST-DATE,SPENDING-LIMIT,AVG-PAYMENTS,AVG-BALANCES,LAST-TRX-DATE,PY-AMT-CASH,YTD-AMT-CASH,YTD-MAX-BUCKET,PY-MAX-BUCKET,ACCOUNT-STATUS,CURRENT-BALANCE,BRANCH-CODE,AGE,AUTOMATIC-REPAYMENT,TARGET
108,108,108,108,01/10/1999,1,0,1,05/12/2000,1000000.0,2083.0,268705,1,0,0,0,7,0.0,906618.0,568,32.0,0,1
109,109,109,109,01/10/1999,1,0,0,0,1000000.0,20417.0,972024,1,0,150000,3,0,0.0,1017263.0,566,40.0,0,1
110,110,110,110,01/10/1999,1,0,0,0,1000000.0,26250.0,863609,1,0,200000,0,0,0.0,933528.0,566,51.0,0,0
111,111,111,111,01/10/1999,1,0,1,30/11/2000,1000000.0,80000.0,145630,1,0,0,0,0,0.0,906618.0,165,63.0,0,0
112,112,112,112,01/10/1999,1,0,1,12/09/2001,1000000.0,89167.0,742122,1,0,950000,0,0,0.0,858844.0,165,65.0,0,0
113,113,113,113,01/10/1999,1,0,0,0,1000000.0,80000.0,673220,1,0,0,7,4,0.0,189173.0,366,36.0,1,1
114,114,114,114,01/10/1999,1,0,0,0,1000000.0,22500.0,1005238,1,100000,100000,5,3,0.0,1070663.0,469,29.0,1,1
115,115,115,115,01/10/1999,1,0,1,26/06/2001,1000000.0,25253.0,829299,1,0,0,7,6,0.0,906618.0,568,35.0,0,1
116,116,116,116,01/10/1999,0,0,0,0,1000000.0,66667.0,855482,1,0,0,3,3,0.0,331399.0,169,36.0,0,1
117,117,117,117,01/10/1999,1,0,0,0,1000000.0,48197.0,888527,1,0,0,7,4,0.0,515290.0,466,37.0,1,1
118,118,118,118,01/10/1999,0,0,1,04/04/2001,1000000.0,99960.0,544856,1,0,100000,0,0,0.0,906618.0,665,37.0,1,0
119,119,119,119,01/10/1999,1,0,0,0,1000000.0,148500.0,819058,1,3070000,1420000,0,0,0.0,940447.0,366,60.0,1,0
120,120,120,120,01/10/1999,0,0,0,0,1000000.0,24830.0,956907,1,0,100000,0,0,0.0,941623.0,168,46.0,1,0
121,121,121,121,01/10/1999,1,0,0,0,1000000.0,116875.0,140704,1,0,500000,0,0,0.0,200000.0,269,61.0,1,0
122,122,122,122,01/10/1999,1,0,0,0,800000.0,23242.0,726241,1,0,220000,0,0,0.0,801089.0,269,50.0,1,0
123,123,123,123,01/10/1999,1,0,0,0,1000000.0,26250.0,952425,1,0,125000,2,3,0.0,970153.0,668,44.0,0,1
124,124,124,124,01/10/1999,0,0,0,0,1000000.0,24500.0,894778,1,0,0,2,0,0.0,796665.0,168,44.0,1,1
125,125,125,125,01/10/1999,1,0,0,0,1000000.0,56500.0,550188,1,0,0,0,0,0.0,344859.0,269,52.0,1,0
126,126,126,126,01/10/1999,0,0,0,0,1000000.0,1646.0,1631,1,0,0,0,0,0.0,906618.0,269,54.0,1,0
127,127,127,127,01/10/1999,1,0,0,0,600000.0,26416.0,538171,1,100000,210000,0,0,0.0,582492.0,269,60.0,1,0
128,128,128,128,01/10/1999,1,0,0,0,1000000.0,22500.0,967164,1,0,100000,3,2,0.0,927947.0,269,35.0,1,1
129,129,129,129,01/10/1999,1,0,0,0,600000.0,24792.0,485124,1,150000,150000,0,0,0.0,500817.0,366,33.0,1,0
130,130,130,130,01/10/1999,1,0,1,10/09/2001,500000.0,34000.0,164956,1,0,0,0,0,0.0,906618.0,269,28.0,1,0
131,131,131,131,01/10/1999,1,0,1,05/12/2000,1000000.0,25253.0,281903,1,0,0,0,7,0.0,906618.0,169,31.0,1,1
132,132,132,132,01/10/1999,1,0,1,25/06/2001,1000000.0,10417.0,790545,1,0,0,7,5,0.0,906618.0,169,33.0,0,1
133,133,133,133,01/10/1999,0,0,0,0,1000000.0,12500.0,1005123,1,0,0,7,3,0.0,985518.0,169,32.0,0,1
